Subject,ChannelIndex,ROI,ClassLabel,FixationAccuracy,EncodingAccuracy,Delay1Accuracy,Delay2Accuracy,Fix_null_mean,Fix_null_std,Enc_null_mean,Enc_null_std,D1_null_mean,D1_null_std,D2_null_mean,D2_null_std,Fix_p_perm,Enc_p_perm,D1_p_perm,D2_p_perm,D1_vsFix_p,D2_vsFix_p,Fix_p_binom,Enc_p_binom,D1_p_binom,D2_p_binom,Fix_signif_binom,Enc_signif_binom,D1_signif_binom,D2_signif_binom,D1_signif_vsFix,D2_signif_vsFix
k12wm010,129,L Superior Temporal Gyrus,3,0.487,0.55,0.613,0.506,0.502,0.055,0.501,0.063,0.501,0.064,0.497,0.055,0.5743,0.3663,0.0396,0.505,0.0099,0.1782,0.6536,0.1178,0.0027,0.4685,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm003,45,L Superior Temporal Gyrus,3,0.506,0.537,0.781,0.644,0.509,0.056,0.505,0.08,0.509,0.067,0.511,0.073,0.5446,0.3564,0.0099,0.0198,0.0099,0.0792,0.4685,0.1923,0,0.0002,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
k12wm003,98,R Medial Temporal Pole,2,0.444,0.4,0.594,0.525,0.496,0.056,0.501,0.07,0.493,0.062,0.495,0.06,0.8515,0.9406,0.0891,0.3564,0.0198,0.0693,0.9336,0.9956,0.0108,0.2901,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm008,14,R ParaHippocampal Gyrus,3,0.5,0.606,0.719,0.544,0.499,0.056,0.496,0.068,0.493,0.058,0.498,0.057,0.5842,0.0396,0.0099,0.2574,0.0099,0.1485,0.5315,0.0044,0,0.152,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm008,25,R Fusiform Gyrus,1,0.512,0.525,0.756,0.525,0.498,0.056,0.49,0.068,0.491,0.044,0.493,0.046,0.4059,0.3861,0.0099,0.2574,0.0099,0.4455,0.4063,0.2901,0,0.2901,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm008,34,R Insula Lobe,1,0.487,0.5,0.669,0.45,0.504,0.056,0.53,0.173,0.498,0.055,0.499,0.055,0.604,0.5743,0.0099,0.8119,0.0099,0.6436,0.6536,0.5315,0,0.9106,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm008,40,R Insula Lobe,3,0.525,0.463,0.613,0.5,0.5,0.056,0.503,0.09,0.502,0.07,0.499,0.068,0.4356,0.6337,0.0594,0.5545,0.0495,0.7525,0.2901,0.848,0.0027,0.5315,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm008,117,L ParaHippocampal Gyrus,4,0.469,0.594,0.6,0.519,0.491,0.056,0.5,0.071,0.503,0.035,0.496,0.057,0.6733,0.1386,0.0099,0.3564,0.0099,0.1386,0.8077,0.0108,0.007,0.3464,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
k12wm009,49,L Insula Lobe,4,0.469,0.481,0.512,0.463,0.504,0.056,0.499,0.056,0.504,0.047,0.5,0.049,0.7426,0.6436,0.495,0.7822,0.2178,0.5644,0.8077,0.7099,0.4063,0.848,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
k12wm011,21,L Middle Temporal Gyrus,3,0.4,0.412,0.5,0.438,0.5,0.056,0.496,0.058,0.499,0.064,0.503,0.063,0.9505,0.9208,0.5149,0.8515,0.0198,0.2574,0.9956,0.9892,0.5315,0.9517,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
k12wm002,32,L Postcentral Gyrus,4,0.512,0.512,0.625,0.487,0.495,0.057,0.497,0.056,0.498,0.048,0.499,0.053,0.4257,0.396,0.0099,0.6238,0.0198,0.6733,0.4063,0.4063,0.001,0.6536,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm002,71,R Middle Temporal Gyrus,1,0.463,0.444,0.525,0.438,0.497,0.057,0.501,0.061,0.5,0.06,0.499,0.06,0.6931,0.7921,0.4356,0.8812,0.0891,0.8119,0.848,0.9336,0.2901,0.9517,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
k12wm002,100,Right Cerebral White Matter,3,0.444,0.412,0.625,0.425,0.503,0.057,0.501,0.07,0.487,0.065,0.496,0.06,0.8515,0.9307,0.0396,0.9208,0.0099,0.6634,0.9336,0.9892,0.001,0.9761,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm006,25,L Insula Lobe,1,0.562,0.456,0.594,0.537,0.494,0.057,0.499,0.056,0.499,0.038,0.498,0.059,0.1584,0.802,0.0099,0.2673,0.3861,0.7624,0.0664,0.8822,0.0108,0.1923,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
k12wm008,1,R ParaHippocampal Gyrus,3,0.4,0.425,0.519,0.406,0.503,0.057,0.504,0.089,0.504,0.061,0.501,0.057,0.9703,0.7822,0.4059,0.9604,0.0297,0.4554,0.9956,0.9761,0.3464,0.993,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
k12wm008,69,R Fusiform Gyrus,1,0.537,0.531,0.744,0.631,0.496,0.057,0.493,0.102,0.504,0.1,0.505,0.078,0.2673,0.396,0.0099,0.0693,0.0297,0.1386,0.1923,0.2384,0,0.0006,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
k12wm008,130,Left Cerebral White Matter,1,0.494,0.562,0.613,0.556,0.497,0.057,0.503,0.037,0.501,0.033,0.494,0.044,0.5248,0.0792,0.0099,0.1188,0.0396,0.099,0.5937,0.0664,0.0027,0.0894,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
k12wm009,13,Left Cerebral White Matter,3,0.506,0.475,0.606,0.5,0.5,0.057,0.499,0.062,0.502,0.063,0.502,0.068,0.505,0.5941,0.0495,0.5545,0.0099,0.6436,0.4685,0.7616,0.0044,0.5315,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
